timestamp,transcription
(0.0:1.0),"Olá, bom dia."
(0.0:3.0),Olá.
(0.0:5.0),Olá.
(0.0:6.0),
(0.0:6.0),"Olá, bom dia."
(0.0:7.0),"Fala o seu jogo, tê cheira."
(0.0:8.0),Isso.
(0.0:9.0),"O jogo me chamou Betrias, falou da Fox."
(0.0:12.0),Tudo bem?
(0.0:13.0),"Tudo bem, Betrias."
(0.0:14.0),"É isso, não é?"
(0.0:15.0),Fala.
(0.0:16.0),"Estou bem, eu..."
(0.0:17.0),"Obrigado, o senhor está me ouvindo bem agora."
(0.0:19.0),
(0.0:19.0),E o senhor?
(0.0:20.0),"Fala, seu jogo."
(0.0:22.0),Meu contato é bem rápido e simples.
(0.0:24.0),O senhor seria ainda a restaunçada
(0.0:25.0),"pelo tema na empresa, na Pola e com o super inteis areal?"
(0.0:29.0),Sim.
(0.0:30.0),"Eu falo da parte da experiência do cliente, o senhor de novo."
(0.0:33.0),E eu preciso fazer um acompanhamento para saber como está aí a percepção de vocês.
(0.0:37.0),"É bem rápido e simples, porém, importante para a gente entender a experiência que estão tendo."
(0.0:43.0),Esse acompanhamento é feito pelo método de NPS.
(0.0:46.0),"Então, o senhor avalia, somente, zero, da Zamarca Toth."
(0.0:48.0),"É um dos pontos específicos, duro, dois minutinhos, tá bom?"
(0.0:51.0),Tá bom.
(0.0:52.0),"Só confirmando o CNPJ da empresa 11, 319, 799,000,000, contra 9,930."
(0.0:58.0),Isso.
(0.0:59.0),"O e-mail do sircontinuio de algum ponto de cheira, rouba na polha e consultaria, quanto ponto berre."
(1.0:4.0),Isso mesmo.
(1.0:6.0),Obrigada pela confirmação.
(1.0:7.0),"E estão iniciando no meiscala de 0-10, o senhor, a probabilidade do senhor recomendar a todos ao Amigo e com o colega hoje."
(1.0:14.0),"Na visão, o senhor tem?"
(1.0:16.0),Novos?
(1.0:17.0),Tem algum comentário que gostaria de deixar essa branota?
(1.0:22.0),"Não, o senhor não, bom sistema, tem de toda a lei de dislação."
(1.0:26.0),"Só tem um monte de surpreendentes, e também um pouco de um lizi."
(1.0:29.0),É que tem que ter o todo mundo de poubal.
(1.0:31.0),Não tem de estar.
(1.0:35.0),
(1.0:37.0),"Então, tá bom."
(1.0:38.0),"Para a gente aprofundar um pouquinho mais a melhoria, agora vou forar alguns pontos específicos e férsicos."
(1.0:42.0),"O senhor avali também, se após o 0-10, caso tem a contato, tá?"
(1.0:47.0),"Falando do suporte técnico, como o senhor avalia a realidade no suporte técnico?"
(1.0:52.0),Muito bom.
(1.0:53.0),"Não teve problema não, o suporte técnico, sendo que eu liga e resolvendo."
(1.0:58.0),Uh-huh.
(1.0:59.0),Menta do prazo.
(2.0:1.0),Desveradete.
(2.0:2.0),"Do esferriar, né?"
(2.0:3.0),Daí.
(2.0:4.0),Tá.
(2.0:5.0),"Falando em relação ao atendimento dos dois agentes do suporte, né?"
(2.0:9.0),Como o senhor avalia o atendimento dos dois agentes?
(2.0:11.0),"Também, são muito bons."
(2.0:13.0),Bem qualificados.
