timestamp,transcription
(0.0:0.0),"Quando navelha na selha bom dia, tá?"
(0.0:2.0),"Bom dia na sala, na metro e na foto falando."
(0.0:4.0),"Eu sei que falar que a Sivana é do CIS,"
(0.0:7.0),seria ela ainda rissão fala por essa sede?
(0.0:9.0),Só um momento.
(0.0:10.0),Só um momento.
(0.0:11.0),Obrigada.
(0.0:23.0),"Sivana, é?"
(0.0:24.0),"Bom dia, a Sivana, na metro e na foto falando tudo bem?"
(0.0:28.0),"Bom dia, bem triste, bom dia."
(0.0:30.0),Muito bem.
(0.0:30.0),Também é o obrigado.
(0.0:32.0),"Sivana, a Sivana seria responsável pelo sistema na empresa escandinave e a veículos, né?"
(0.0:38.0),"É assim, tá?"
(0.0:40.0),
(0.0:40.0),O meu contato é bem rápido.
(0.0:42.0),Eu falo na parte de seriante e adobriante.
(0.0:44.0),"Eu gostaria de saber somente como que tá aí a experiência, acompanhando um pouco a percepção que vocês estão tendo."
(0.0:49.0),"E se acompanhamento é feito pelo metro de Alemperes,"
(0.0:52.0),"a gente se arravelia de era da América Pala,"
(0.0:54.0),"eu sou um suboficiço, dois minutinhos tudo bem."
(0.0:57.0),"A Sira seria a sede pela TDI, né?"
(1.0:2.0),"Sim, uma dada."
(1.0:3.0),Tá.
(1.0:4.0),"Eu vou só confirmar o Serempejata, porque vocês são empresas coligadas, né?"
(1.0:9.0),"Então, uma rede."
(1.0:10.0),"O Serempejata que eu tô falando é o meio a 7,041,"
(1.0:15.0),"116,21, ok?"
(1.0:18.0),"E, jo."
(1.0:19.0),"O meio da Sira continua se o van é ponto 1,"
(1.0:22.0),"só roubar a massa, tá a rap se, ponto ponto berre."
(1.0:26.0),"E, jo."
(1.0:27.0),"Então, mas..."
(1.0:27.0),"Essa filial que você falou aí, ela é de Berlândia."
(1.0:31.0),"Então, a gente tem depois o Serempejata final 117,"
(1.0:36.0),"o 460, e o 3040."
(1.0:39.0),"E o 540, isso tá vendo aqui?"
(1.0:42.0),"É, a senhora correto de fórelos 3?"
(1.0:45.0),"E, jo."
(1.0:46.0),"Tá bom, então."
(1.0:47.0),"Vamos, correto, né?"
(1.0:48.0),"É, por esses 4."
(1.0:50.0),Tá.
(1.0:51.0),"Eu vou iniciar, então, a Sera Civilana não me escalar de 010,"
(1.0:56.0),com a probabilidade de estar a recomendar a tossa de um amigo ou um colega hoje.
(2.0:1.0),Dei.
(2.0:3.0),Teria algum comentário ou algum ponto que a Sera Gussera de Nexat sobre a nota?
(2.0:7.0),Não.
(2.0:8.0),"Só para a gente aprofundar um pouco mais na melhoria,"
(2.0:11.0),"agora vou suar alguns pontos necessitos,"
(2.0:13.0),"e péssica a Sera Valhisa, principalmente de 010,"
(2.0:16.0),a água tem a conta.
(2.0:17.0),"Falando do suporte técnico, como a Sera Valhisa de lidade nos processos e suporte?"
(2.0:24.0),"Se fala de portos, estão chamados que a gente abre aí."
(2.0:27.0),E isso?
(2.0:28.0),Oito.
(2.0:30.0),Tá.
(2.0:31.0),"Falando em relação ao atendimento do agente dos portos,"
(2.0:34.0),analistas que lidam como vocês.
(2.0:37.0),Oito também.
(2.0:38.0),"Em relação ao atendimento do comercial,"
(2.0:41.0),referente ao ex-activo de vendas.
(2.0:45.0),"Hmm, um aninhógen."
(2.0:49.0),"Ah, os custos e valores dos produtos pontos atados?"
(2.0:54.0),Oito.
(2.0:55.0),"Atendimento do administrativo financeiro,"
(2.0:57.0),referente a boletos e negocições.
(2.0:59.0),Dei.
(3.0:1.0),"A satisfação, qual a implantação do software?"
(3.0:4.0),Será parte de poder implantação?
(3.0:6.0),"Sim, que é de bem."
(3.0:8.0),Como foi para a senhora?
(3.0:11.0),Oito.
(3.0:13.0),"Tá, hoje o sistema ele sai entregando o benefício que a empresa precisa,"
(3.0:16.0),"entrega totalmente, especialmente, não entrega."
(3.0:22.0),"Entrega, entrega, como qual você falou, entrega?"
(3.0:25.0),"Totalmente, especialmente, não entregou."
(3.0:31.0),"Ah, especialmente."
(3.0:33.0),"Tá, como foi a experiência da senhora com a a salização do software?"
(3.0:38.0),Vocês já apalizaram?
(3.0:40.0),Desaradessuam a sua baninha?
(3.0:43.0),"Qual a localização, a diversão?"
(3.0:46.0),"O acera mais recente, pode ser diversão ou de relizes, né?"
(3.0:50.0),"A experiência, não foi nógeno, tudo certo."
(3.0:56.0),"Tá, finaliza então, um péssico acera valido também,"
(3.0:58.0),"será dessa a sensibilizar pela tosse de preto, a unidade responsável para vocês?"
(4.0:4.0),"Atencimento dele, em especial, analisca, mas é bastante alíol."
(4.0:11.0),Tá bom.
(4.0:12.0),Tem algum comentário final? Você será que você vai deixar?
(4.0:15.0),"Não, não."
(4.0:17.0),"Ah, isso é acompanhamento, ele ocorre a cada seis meses, tá?"
(4.0:21.0),"Está sendo período, retornamos o contato."
(4.0:24.0),"Como você só, em empresa de rede, é capaz de você ser bom,"
(4.0:28.0),"esses contatos, mas daí acera não vai poder responder para a gente,"
(4.0:31.0),"mas seria algum outro gestor também que possa responder para a gente,"
(4.0:36.0),nos outros terem pejófos.
(4.0:37.0),"Tá, hein?"
(4.0:39.0),"Tá bom, então, será que vai passar na período de seis meses,"
(4.0:42.0),"há um ano, a gente retornou o contato, tá bom, nesse terem pejóto?"
(4.0:46.0),A acera teria alguma empresa que gostaria de indicar?
(4.0:50.0),"Não, não."
(4.0:52.0),Não.
(4.0:53.0),"Tá bom, então, será que vai agradecer a ser retornátima de ir com um trabalho?"
(4.0:56.0),"Tá bom, então, tchau."
(4.0:57.0),Até a próxima.
(4.0:59.0),Até a próxima.
,
Estatísticas,
Total de palavras,786
Palavras por minuto,156.98022768124628
Percentual de palavras mágicas,0.0
a,48
de,23
que,16
o,16
e,12
é,12
um,11
na,10
tá,9
"então,",8
eu,7
do,7
como,7
você,6
"bom,",6
bom,5
só,5
né?,5
gente,5
não,5
para,5
será,5
seria,4
falando,4
empresa,4
se,4
ponto,4
sera,4
algum,4
não.,4
em,4
"tá,",4
acera,4
vai,4
"dia,",3
tá?,3
metro,3
"sivana,",3
tudo,3
bem.,3
vocês,3
da,3
tá.,3
vou,3
"e,",3
jo.,3
tem,3
com,3
ou,3
oito.,3
ao,3
atendimento,3
"ah,",3
qual,3
foi,3
ser,3
mas,3
foto,2
sivana,2
ela,2
fala,2
por,2
essa,2
momento.,2
bem,2
(0.0:30.0),2
também,2
responsável,2
pelo,2
sistema,2
(0.0:40.0),2
parte,2
gostaria,2
"experiência,",2
pouco,2
estão,2
sira,2
pela,2
"sim,",2
uma,2
serempejata,2
meio,2
(1.0:27.0),2
isso,2
"é,",2
senhora,2
esses,2
"010,",2
dei.,2
teria,2
comentário,2
mais,2
pontos,2
nos,2
"portos,",2
relação,2
dos,2
referente,2
software?,2
poder,2
ele,2
"totalmente,",2
"especialmente,",2
"entrega,",2
"não,",2
seis,2
"meses,",2
responder,2
"gente,",2
terem,2
até,2
próxima.,2
(0.0:0.0),1
quando,1
navelha,1
selha,1
(0.0:2.0),1
dia,1
"sala,",1
falando.,1
(0.0:4.0),1
sei,1
falar,1
"cis,",1
(0.0:7.0),1
ainda,1
rissão,1
sede?,1
(0.0:9.0),1
(0.0:10.0),1
(0.0:11.0),1
obrigada.,1
(0.0:23.0),1
é?,1
(0.0:24.0),1
bem?,1
(0.0:28.0),1
"triste,",1
dia.,1
muito,1
obrigado.,1
(0.0:32.0),1
escandinave,1
"veículos,",1
(0.0:38.0),1
"assim,",1
meu,1
contato,1
rápido.,1
(0.0:42.0),1
falo,1
seriante,1
adobriante.,1
(0.0:44.0),1
saber,1
somente,1
aí,1
acompanhando,1
percepção,1
tendo.,1
(0.0:49.0),1
acompanhamento,1
feito,1
"alemperes,",1
(0.0:52.0),1
arravelia,1
era,1
américa,1
"pala,",1
(0.0:54.0),1
sou,1
"suboficiço,",1
dois,1
minutinhos,1
(0.0:57.0),1
sede,1
"tdi,",1
(1.0:2.0),1
dada.,1
(1.0:3.0),1
(1.0:4.0),1
confirmar,1
"serempejata,",1
porque,1
são,1
empresas,1
"coligadas,",1
(1.0:9.0),1
rede.,1
(1.0:10.0),1
tô,1
"7,041,",1
(1.0:15.0),1
"116,21,",1
ok?,1
(1.0:18.0),1
(1.0:19.0),1
continua,1
van,1
"1,",1
(1.0:22.0),1
roubar,1
"massa,",1
rap,1
"se,",1
berre.,1
(1.0:26.0),1
mas...,1
filial,1
falou,1
"aí,",1
berlândia.,1
(1.0:31.0),1
depois,1
final,1
"117,",1
(1.0:36.0),1
"460,",1
3040.,1
(1.0:39.0),1
"540,",1
vendo,1
aqui?,1
(1.0:42.0),1
correto,1
fórelos,1
3?,1
(1.0:45.0),1
(1.0:46.0),1
então.,1
(1.0:47.0),1
"vamos,",1
"correto,",1
(1.0:48.0),1
4.,1
(1.0:50.0),1
(1.0:51.0),1
"iniciar,",1
civilana,1
me,1
escalar,1
(1.0:56.0),1
probabilidade,1
estar,1
recomendar,1
tossa,1
amigo,1
