timestamp,transcription
(0.0:0.0),Fina ser o Leandro?
(0.0:1.0),"Boa tarde, Leandro, o meu nome é Viviane, eu falo aqui da Tottos Matrist, tudo bem?"
(0.0:6.0),"Tudo, você?"
(0.0:8.0),"Também, obrigada."
(0.0:10.0),"Leandro, eu estou entrando em contato com você, para a gente fazer um rap da acompanhamento em relação à marca Tottos, que vocês utilizam hoje na empresa e no seu departamento."
(0.0:20.0),Você teria dois pitinhos para falar comigo?
(0.0:23.0),Finta.
(0.0:24.0),"Você está fazendo algumas confirmações, porque as coisas de segurança?"
(0.0:28.0),"O seu nome completo, Leandro Rodrigues da Silva, e atualmente o senhor hoje é um do responsável estelaíaco do financeiro da empresa, né?"
(0.0:35.0),Fichos.
(0.0:36.0),O Emeio continua sendo financeiro a roba BrasilMed.com.br
(1.0:3.0),Fichos.
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),
(1.0:4.0),Fichos.
(1.0:5.0),
(1.0:5.0),
(1.0:5.0),Fichos.
(1.0:5.0),Fichos.
(1.0:7.0),Fichos.
(1.0:7.0),Fichos.
(1.0:7.0),Fichos.
(1.0:9.0),Fichos.
(1.0:9.0),Fichos.
(1.0:22.0),Fichos.
(1.0:24.0),Fichos.
(1.0:24.0),
(1.0:24.0),
(1.0:24.0),
(1.0:24.0),Fichos.
(1.0:24.0),
(1.0:24.0),Fichos.
(1.0:27.0),"ihinotascoxas não tinha de briga, fumidcos não tem pr conformio temo pela região, mas não era operante e também maladiar demersa."
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),
(1.0:35.0),Estouントando da nossa pesticides.
(1.0:35.0),والrais da plantação.
(1.0:36.0),
(1.0:36.0),O kanssa de distribuir os outros para dominar para todos os innebentos de UberИ software.
(1.0:40.0),e a gente já demorou um pouquinho mais.
(1.0:42.0),"Mas com relação a isso, para a questão de implatação"
(1.0:46.0),"de sistema quando ocorre mudança, principalmente no noto escala."
(1.0:52.0),"Sério, sério."
(1.0:54.0),"Eu vou fazer agora algumas perguntas direcionadas, onde você vai me responder a nota de 0 a 10."
(1.0:59.0),"Não precisa falar o motivo da nota, e também não precisa responder caso você não tem o contato direto com a área tudo bem."
(2.0:6.0),Tudo bem.
